name	pixlen	junction	tip	meri.start	meri.end
\\YOUR folder structure here\Pi 2022_04_08\01\22-03-17_right	193.31321734428818	890,800	1050,858	781,813	780,834
\\YOUR folder structure here\Pi 2022_04_08\02\22-03-17_right	206.0024271701671	873,781	1031,829	775,816	780,829
\\YOUR folder structure here\Pi 2022_04_08\03\22-03-17_right	202.00990074746338	1038,687	1174,746	946,692	946,709
\\YOUR folder structure here\Pi 2022_04_08\04\22-03-17_right	202.89159667172024	906,780	1049,808	817,802	817,813
\\YOUR folder structure here\Pi 2022_04_08\05\22-03-17_right	201.63581031156147	1006,754	1119,804	913,772	913,786
\\YOUR folder structure here\Pi 2022_04_08\06\22-03-17_right	197.12432625122653	881,450	1049,506	789,480	799,488
\\YOUR folder structure here\Pi 2022_04_08\07\22-03-17_right	196.0	1034,741	1174,800	942,759	942,773
\\YOUR folder structure here\Pi 2022_04_08\08\22-03-17_right	198.0631212517868	922,682	1055,752	823,690	825,703
\\YOUR folder structure here\Pi 2022_04_08\09\22-03-17_right	195.02307555774007	1062,703	1193,794	962,709	962,712
\\YOUR folder structure here\Pi 2022_04_08\10\22-03-17_right	205.0	813,515	970,568	728,541	741,555
\\YOUR folder structure here\Pi 2022_04_08\01\22-03-17_left	189.06612599828665	845,947	1015,1025	736,963	754,970
\\YOUR folder structure here\Pi 2022_04_08\02\22-03-17_left	190.3943276465977	728,892	894,933	662,913	662,923
\\YOUR folder structure here\Pi 2022_04_08\03\22-03-17_left	201.02238681301145	764,844	931,897	665,865	673,879
\\YOUR folder structure here\Pi 2022_04_08\04\22-03-17_left	196.25493624365222	860,935	997,1013	772,942	772,955
\\YOUR folder structure here\Pi 2022_04_08\05\22-03-17_left	200.0	866,908	1005,971	784,922	784,937
\\YOUR folder structure here\Pi 2022_04_08\06\22-03-17_left	199.04019694524018	832,587	1007,660	733,603	733,612
\\YOUR folder structure here\Pi 2022_04_08\07\22-03-17_left	195.0102561405425	889,874	1054,955	784,893	787,903
\\YOUR folder structure here\Pi 2022_04_08\08\22-03-17_left	196.0	759,806	870,864	657,824	660,834
\\YOUR folder structure here\Pi 2022_04_08\09\22-03-17_left	197.25364381932212	835,782	969,837	747,801	737,812
\\YOUR folder structure here\Pi 2022_04_08\10\22-03-17_left	202.00990074746338	749,646	906,703	657,673	657,685
